ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1140,2019-02-04,1,"ТОВ ""Торговий дiм ""Гранд Афiш""",,36678347,"+;1140; Опл. за посл. виг. банеру зг. угоди №6/19 - ТД вiд 28.01.19р.в т.ч. ПДВ Пл-к: Канд. на пост президента Укр. Каплiн Сергiй Миколайович, IПН 2920305237",5000,юридична особа,виготовлення інших матеріалів передвиборної агітації
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1140,2019-02-04,1,"ТОВ ""Компанiя ""Альфа Принт""",,40823955,"+;1140; Опл.за посл.виг.банеру зг.рах.факт. №СФ-0000017 вiд 1.02.19 в т.ч.ПДВ, Пл-ник: Канд. на пост презид. Укр. Каплiн Сергiй Миколайович, IПН плат 2920305237",5000,юридична особа,виготовлення інших матеріалів передвиборної агітації
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1350,2019-02-04,1,"ТОВ ""РА Мегаполiс""",,40185139,"+;1350; Оплата за розм.агiт.мат.зг.угоди №МРА-05/19 вiд 29.01.19 в т.ч.ПДВ Пл-ник Кандидат на пост презид.Укр.Каплiн Сергiй Миколайович, IПН платн. 2920305237",5000,юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1350,2019-02-04,1,ФОП Кiмлик Наталiя Сергiївна,,,"+;1350; Оплата за розм.агiт.мат.зг.угоди №КН-01/19 вiд 29.01.19 в т.ч. ПДВ Пл-ник Кандидат на пост презид.Укр.Каплiн Сергiй Миколайович, IПН платн. 2920305237",5000,ФОП,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1120,2019-02-06,1,"ТОВ ""Кашемир Фильмз""",,39434280,"+;1120; Оплата за виготовлення рекламного вiдеоролика согл..договору №21\01-2019 от 25 сiчня 2019 в т.ч. ПДВ, Пл-ник Каплiн С.М. , IПН 2920305237",5000,юридична особа,виготовлення відеозаписів
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1350,2019-02-11,2,ФОП Яременко Н.В,,,"+;1350; За розмiщення друкованих агiтацiйних матерiалiв чи полiтичної реклами на носiях зовнiшньої реклами, зг. дог. № НВ07-02 от 2019-02-01, у т.ч. ПДВ",5000,ФОП,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1320,2019-02-11,1,Управл.ком. власностi та концессiя Бiл,,20577351,"+;1320; Оренда нежитл. примiщення, зг.дог. № 1666 вiд 2019-01-30. В т.ч. ПДВ 20.39 грн. Пл-ник Каплин С.М. , IПН 2920305237","122,32",юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1350,2019-02-11,11.січ,Хмельницька Олена Володимирiвна,,,+;1350; розмiщення друкованих агiтацiйних матерiалiв чи полiтичної реклами на носiях зовнiшньої реклами зг.дог. №01/02/19-1 вiд 2019-02-01. без урах. ПДВ,23100,юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1320,2019-02-12,3/120219,"ПАТ ""Херсонводпроект""",,01038476,"+;1320;Оплата за оренду примiщення згiдно договору №19/К-2 вiд 2019-02-11 р., без ПДВ. Платник: кандидат на пост Президента України Каплiн С.М.",600,юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1320,2019-02-12,4/120219,"ТОВ ""МГРК ""Олександрiйський",,40338564,"+;1320;Оплата за оренду прес-центру згiдно рахунку-фактури № СФ-0000212 вiд 2019-02-08, в т.ч. ПДВ 83,33 грн. Пл-ник: канд. на пост През. Укр.Каплiн С.М.",500,юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1340,2019-02-12,5/120219,Федерацiя профспiлок Черкаської област,,02661020,"+;1340;Оренда залу згiдно рахунку-фактури №СФ-0000107 вiд 2019-02-07 р., в. т.ч. ПДВ 150 грн. Платник: кандидат на пост Президента України Каплiн С.М.",900,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1211,2019-02-12,1/120219,"ТОВ ""Телерадiокомпанiя ""Круг""",,25049898,"+;1211;Оплата за участь у програмi ""Наодинцi з усiма"", рахунок №17 вiд 2019-02-06 р., в. т.ч ПДВ 1066,67 грн. Пл-ник кандидат на пост Президента Укр.Каплiн С.М.",6400,юридична особа,оплата ефірного часу на телебаченні
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1211,2019-02-12,2/120219,"ТОВ ""Медіа група ""Позитив""",,36419704,"+1211;Оплата ефiрного часу на телебаченнi згiдно з рахунком №5 вiд 2019-02-07 р., без ПДВ. Платник: кандидат на пост Президента України Каплiн С.М.",6600,юридична особа,оплата ефірного часу на телебаченні
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1211,2019-02-12,6/120219,"ТОВ ""ТЕЛЕРАДIОКОМПАНIЯ ""МОЯ ОДЕСА""",,31068509,"+;1211;Розмiщення iнформацiйних матерiалiв на носiях ""Думская TV"" згiдно договору про надання ефiрного часу 03.02.19 вiд 2019-02-11 с ПДВ 2800 грн.",16800,юридична особа,оплата ефірного часу на телебаченні
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1350,2019-02-12,7/120219,"ТОВ ""МIЖГОСПОДАРСЬКИЙ КОМБIК.З-Д""",,00687310,"+;1350;Оренда Бiлбордiв згiдно рахунку на оплату №35 вiд 07.02.19 в т.ч ПДВ 1733,33 грн",10400,юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Каплін Сергій Миколайович,Соціал-Демократична партія,211,1211,2019-02-14,1,"ТОВ ""ПЕРШИЙ МIСЬКИЙ ТЕЛЕКАНАЛ. КРИВИЙ",,39865405,"+;1211;Участь у програмi ""Президентськi перегони"" згiдно медiа-плану №6 вiд 2019-02-12 р., договiр №12.02.19 вiд 2019-02-12р. в т.ч. ПДВ 4333,33 грн.""",26000,юридична особа,оплата ефірного часу на телебаченні
