ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Тарута Сергій Олексійович,Основа,223,5000,2019-02-25,224,Дацков Михайло Сергійович,"Хмельницька обл., с.Шевченкове",,повернення фізичним особам помилкових надходжень коштів,298000,фізична особа,Повернення особам помилкових надходжень коштів
Тарута Сергій Олексійович,Основа,223,5000,2019-02-25,225,Сальварський Олександр Вікторович,м. Бориспіль,,повернення фізичним особам помилкових надходжень коштів,298000,фізична особа,Повернення особам помилкових надходжень коштів
Тарута Сергій Олексійович,Основа,223,5000,2019-02-25,226,Тищенко Богдан Васильович,м. Бориспіль,,повернення фізичним особам помилкових надходжень коштів,298000,фізична особа,Повернення особам помилкових надходжень коштів
Тарута Сергій Олексійович,Основа,223,5000,2019-02-25,227,Смірнов Дмитро Олександрович,м. Бориспіль,,повернення фізичним особам помилкових надходжень коштів,298000,фізична особа,Повернення особам помилкових надходжень коштів
Тарута Сергій Олексійович,Основа,223,1120,2019-02-01,7,ФОП Батьковський О.А.,м. Київ,,Виготовлення відеоролику,19000,юридична особа,виготовлення відеозаписів
Тарута Сергій Олексійович,Основа,223,1350,2019-02-01,5,"ТОВ ""КІТ МЕДІА""",м. Київ,41497858,Зовнішня реклама,1884840,юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Тарута Сергій Олексійович,Основа,223,1211,2019-02-01,4,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,"4809556,8",юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-04,12,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,133488,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1211,2019-02-04,11,"ТОВ ""ТРК ""Україна""",м. Київ,05744121,ефірний час на телебаченні,227808,юридична особа,оплата ефірного часу на телебаченні
Тарута Сергій Олексійович,Основа,223,1350,2019-02-04,13,"ТОВ ""КІТ МЕДІА""",м. Київ,41497858,Зовнішня реклама,2397000,юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
