ПІБ кандидата,Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Шевченко Ігор Анатолійович,самовисування,гроші кандидата,2019-01-23,1,Шевченко Ігор Анатолійович,,,500000
Шевченко Ігор Анатолійович,самовисування,гроші кандидата,2019-02-01,1,Шевченко Ігор Анатолійович,,,500000
Шевченко Ігор Анатолійович,самовисування,гроші кандидата,2019-02-19,1АОХ 40260,Шевченко Ігор Анатолійович,,,300000
Шевченко Ігор Анатолійович,самовисування,гроші кандидата,2019-02-28,19АТ4 1773,Шевченко Ігор Анатолійович,,,200000
Шевченко Ігор Анатолійович,самовисування,гроші кандидата,2019-03-07,19АТ4 7289,Шевченко Ігор Анатолійович,,,200000
Шевченко Ігор Анатолійович,самовисування,гроші кандидата,2019-03-07,19АТ5 2321,Шевченко Ігор Анатолійович,,,680000
Шевченко Ігор Анатолійович,самовисування,гроші кандидата,2019-03-11,19АТ5 9970,Шевченко Ігор Анатолійович,,,6550
Шевченко Ігор Анатолійович,самовисування,гроші кандидата,2019-03-14,19АТ5 1483,Шевченко Ігор Анатолійович,,,42700
Шевченко Ігор Анатолійович,самовисування,гроші кандидата,2019-03-19,19AT5 7570,Шевченко Ігор Анатолійович,,,16000
Шевченко Ігор Анатолійович,самовисування,гроші кандидата,2019-03-27,19AT5 3933,Шевченко Ігор Анатолійович,,,77904
