ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1211,2019-02-18,5,"ТОВ ""Телерадіокомпанія ""Експо-ТВ""","м. Черкаси, вул. Оборонна, буд. 16",36390796,"+;1211;3а надання ефірного часу, згідно додатку №2 до договору про надання еф.часу від 13.02.2019р.","3300,00",юридична особа,оплата ефірного часу на телебаченні
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1211,2019-02-18,4,"ТОВ ""Телерадіокомпанія ""Експо-ТВ""","м. Черкаси, вул. Оборонна, буд. 16",36390796,"+;1211;3а надання ефірного часу, згідно додатку № 1 до договору про надання еф.часу від 13.02.2019р.","9900,00",юридична особа,оплата ефірного часу на телебаченні
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1211,2019-02-18,6,"ТОВ “Телерадіокомпанія ""Ільдана""","м. Черкаси, вул. Благовісна, буд. 189",22807803,"+;121 ЦОплата ефірного часу на телебаченні, згідно р/ф№14 від 14.02.2019 р„ в т.ч. ПДВ 20% -1719,00 грн.","10314,00",юридична особа,оплата ефірного часу на телебаченні
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1400,2019-02-19,7,"Державне підприємство ""Видавництво Верховної Ради України""","м. Київ, Несторівський провулок, буд. 4",24918435,"+;1400;Оплата за друковане видання (Олександр Мороз ""Долею оплачені слова"" м’яка обкладинка), згідно рах.№11 від 18.02.19 р. Без ПДВ.","41300,00",юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1400,2019-02-22,8,"Державне підприємство ""Видавництво Верховної Ради України""","м. Київ, Несторівський провулок, буд. 4",24918435,"+;1400;Оплата за друковане видання (Олександр Мороз ""Відступати нікуди"" м’яка обкладинка), згідно рах.№11 від 18.02.19 р. Без ПДВ.","88500,00",юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1220,2019-02-22,9,"ТОВ ""Редакція газети “Україна-Центр""","м. Кропивницький, вул. Ельворті, буд. 7, оф. 305",22212613,"+;1220;Опл.за розм. інформац. мат.передвиб.агіта ц.(в газ.Україна Центр №9 від 28.02.19) зг.рах.№26 від 21.02.19 р., в т.ч. ПДВ 20% - 750,00 грн.","4500,00",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1320,2019-02-22,10,Центральноукраїнський державний педагогічний університет ім. Винниченка,"м. Кропивницький, вул. Шевченка, буд. 1",02125415,"+;1320;Оплата оренди приміщення, згідно рах.№84 від 22.02.2019р„ в т.ч. ПДВ 20% -24,58 грн.","147,50",юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1320,2019-02-22,11,"ТОВ ""Готель Приват""","м. Вінниця, вул. Некрасова, буд. 13А, кв. 35",41392952,+; 1320;Оплата оренди приміщення згідно рах.№92 від 22.02.19 р. Без пдв.,"500,00",юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1220,2019-02-22,12,"Колективне підприємство “Редакція обласної газети ""Діалог""","м. Кропивницький, вул. Преображенська, буд. 40",20652667,"+;1220;Поп.опл.(за 3 дні до вих. газети) за публікацію передвиборної агітації в газеті ""Діалог"" №9 від 28.02.19р„ рах.№58 від 21.02.19 р., в т.ч. ПДВ - 1263,78 грн.","7582,68",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1211,2019-02-22,13,"ТОВ ""Телерадіокомпанія ТТУ""","м. Кропивницький, вул. Медведєва, буд. 1В",13745760,"+;1211;Оплата ефірного часу на телебаченні, згідно р/ф.№22 від 21.02.19 р., в т.ч. ПДВ 20% -2550,00 грн.","15300,00",юридична особа,оплата ефірного часу на телебаченні
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1211,2019-02-22,14,"ТОВ ""Центральноукраїнське бюро новин""","м. Кропивницький, вул. Вʼячеслава Чорновола, буд. 46",41956339,"+;1211;Оплата згідно р/ф.№14 від 21.02.2019 р., розміщення відеоматеріалів передвиборчої агітації на телеканалі ""Вітер"",, в т.ч. ПДВ 20% 1500 грн.","9000,00",юридична особа,оплата ефірного часу на телебаченні
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1211,2019-02-22,15,"Обласна асоціація “Вінницька громадська телерадіокомпанія ""Вінничина""","м. Вінниця, вул. Театральна, буд. 15",31473359,"+;1211;Оплата ефірного часу на телебаченні, згідно р/ф№34 від 21.02.2019 р., в т.ч. ПДВ 20% -2160,00 грн.","12960,00",юридична особа,оплата ефірного часу на телебаченні
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1211,2019-02-22,3,"Обласна асоціація “Вінницька громадська телерадіокомпанія ""Вінничина""","м. Вінниця, вул. Театральна, буд. 15",31473359,"+;1211;Оплата ефірного часу на телебаченні, згідно р/ф№35 від 25.02.2019 р., в т.ч. ПДВ 20% -1080,00 грн.","6480,00",юридична особа,оплата ефірного часу на телебаченні
Мороз Олександр Олександрович,Соціалістична партія Олександра Мороза,223,1211,2019-02-26,3,"Дочірне підприємство ""Телерадіокомпанія ""Аверс""","м. Луцьк, вул. Електроапаратна, буд. З",21755180,"+;1211;Розміщенн я матеріалів передвиборної агітації зг. р/ф№36 від 25.02.2019 р., в т.ч. ПДВ 20% 3360,00 грн.","20160,00",юридична особа,оплата ефірного часу на телебаченні
